Ticker;SimFinId;Date;Open;High;Low;Close;Adj. Close;Volume;Dividend;Shares Outstanding
A;45846;2026-04-14;118.04;121.62;117.78;120.39;120.39;2550275;;282602317
AA;367153;2026-04-14;73.83;73.88;71.15;71.84;71.84;3544368;;263839742
AAC;7962652;2023-11-06;10.77;10.79;10.77;10.79;10.79;599704;;98498541
AACB;18959140;2026-04-14;10.38;10.38;10.38;10.38;10.38;511;;
AACG;18712193;2026-04-14;0.94;1.00;0.93;0.95;0.95;7421;;63912442
AACI;11820349;2026-04-14;9.88;9.88;9.88;9.88;9.88;5037;;5826796
AACT;14122297;2026-04-14;9.49;9.49;9.49;9.49;9.49;0;;182555384
AAGH;12444287;2026-04-14;0.00;0.00;0.00;0.00;0.00;100;;21204811608
AAIC;9076064;2023-12-14;4.84;4.84;4.84;4.84;4.84;0;;28468000
AAL;68568;2026-04-14;12.05;12.32;11.81;12.13;12.13;91620742;;660304573
AAM;18508049;2026-02-02;10.65;10.67;10.65;10.66;10.66;7987;;43974000
AAMC;847094;2024-09-16;1.33;1.34;1.21;1.25;1.25;18359;;2554512
AAME;450021;2026-04-14;2.56;2.58;2.53;2.53;2.53;4878;;20397228
AAN;441241;2024-10-03;10.08;10.10;10.08;10.09;10.09;2765717;;30712772
AAOI;671827;2026-04-14;154.50;154.71;142.16;146.39;146.39;10671832;;75198817
AAON;919501;2026-04-14;94.89;96.20;92.51;93.81;93.81;789393;;81499853
AAP;184955;2026-04-14;56.03;56.60;55.50;56.01;56.01;1251882;;60100000
AAPL;111052;2026-04-14;259.25;261.93;257.19;258.83;258.83;46952470;;14681140000
AAT;919944;2026-04-14;19.59;20.16;19.51;20.15;20.15;398205;;61390936
AATP;16787005;2026-04-14;2.74;2.80;2.66;2.71;2.71;22026;;1000626
AAWH;2265764;2026-04-14;0.46;0.51;0.44;0.46;0.46;256757;;202334004
AAWW;762204;2023-04-03;102.48;102.48;102.48;102.48;102.48;1;;28436000
AB;11794966;2026-04-14;38.53;38.99;38.48;38.80;38.80;169354;;92284367
ABAX;36105;2018-08-01;83.00;83.00;83.00;83.00;83.00;0;;22871000
ABBV;61199;2026-04-14;204.80;210.42;204.06;210.26;210.26;6196410;;1768169012
ABCB;919504;2026-04-14;82.98;83.45;82.28;82.84;82.84;443805;;67880297
ABCD;358762;2018-12-18;14.48;14.48;14.48;14.48;14.48;0;;47300262
ABCL;1250893;2026-04-14;3.78;3.83;3.69;3.76;3.76;3163817;;303160487
ABEO;953884;2026-04-14;5.07;5.21;5.04;5.19;5.19;1146413;;57049023
ABEV;18515889;2026-04-14;3.19;3.20;3.14;3.14;3.14;23380982;;15761638756
ABG;545489;2026-04-14;204.91;209.15;200.71;206.57;206.57;129719;;19257920
ABIO;953886;2024-08-30;2.35;2.47;2.22;2.40;2.40;289415;;14507143
ABIT;19150857;2026-04-14;0.00;0.00;0.00;0.00;0.00;154667;;4095009545
ABM;199984;2026-04-14;39.43;39.89;39.33;39.63;39.63;433262;;58532820
ABMC;160965;2026-04-14;0.00;0.00;0.00;0.00;0.00;0;;48098476
ABMD;445587;2023-01-03;381.02;381.02;381.02;381.02;381.02;258;;45372000
ABML;11795344;2023-09-11;9.83;11.78;8.20;9.83;9.83;228892;;17808626
ABNB;1214552;2026-04-14;130.50;134.66;130.47;133.85;133.85;3112379;;635000000
ABOS;12444265;2026-04-14;2.56;2.72;2.55;2.68;2.68;384051;;72212758
ABR;638468;2026-04-14;7.75;7.86;7.74;7.80;7.80;1870677;;193115316
ABSI;1250894;2026-04-14;3.05;3.17;3.05;3.15;3.15;3218048;;153021263
ABT;63877;2026-04-14;100.40;102.18;100.40;101.05;101.05;11678969;;1737682887
ABTI;13950744;2026-04-14;0.01;0.01;0.01;0.01;0.01;0;;1459502018
ABTL;445589;2022-08-31;0.39;0.39;0.39;0.39;0.39;98922;;13245871
ABTX;953887;2022-09-30;42.22;42.57;41.21;41.63;41.63;1609047;;20363000
ABUS;953888;2026-04-14;4.36;4.45;4.32;4.35;4.35;1360202;;192324017
ABVC;15112453;2026-04-14;1.38;1.44;1.23;1.36;1.36;139730;;25440407
AC;919941;2025-09-04;33.40;33.40;30.25;30.92;30.92;194494;;21093592
ACA;919864;2026-04-14;114.53;114.53;111.61;114.24;114.24;183826;;49044022
ACAC;15394174;2024-09-26;12.21;12.37;11.17;11.20;11.20;4203;;5799944
ACAD;445591;2026-04-14;21.46;22.13;21.46;22.02;22.02;1972109;;170494613
ACAH;10656706;2024-03-05;10.45;10.45;10.45;10.45;10.45;0;;33146619
ACAN;654226;2026-04-14;0.00;0.00;0.00;0.00;0.00;3956;;24391961
ACAQ;11819344;2023-10-19;7.40;8.00;2.40;2.55;2.55;935090;;3108936
ACAT;33956;2017-03-07;18.50;18.50;18.50;18.50;18.50;0;;13061818
ACBA;15585600;2024-05-30;12.03;12.03;12.03;12.03;12.03;0;;3789547
ACBI;9076197;2022-02-28;31.75;32.45;30.74;32.34;32.34;125822;;20305109
ACBM;12442266;2026-04-14;0.03;0.03;0.03;0.03;0.03;0;;60042000
ACC;445593;2022-08-09;65.37;65.46;65.37;65.42;65.42;18855710;;139237447
ACCD;10384289;2025-04-08;7.02;7.02;7.02;7.02;7.02;0;;80537080
ACCO;120923;2026-04-14;2.98;3.17;2.97;3.14;3.14;1648368;;90170277
ACDC;17623433;2026-04-14;5.91;5.97;5.75;5.85;5.85;907951;;
ACEL;11795228;2026-04-14;11.68;11.86;11.68;11.72;11.72;297383;;81567065
ACER;1053636;2023-11-20;0.80;0.85;0.66;0.66;0.66;574675;;16089019
ACET;1154966;2026-04-14;6.84;7.10;6.79;7.00;7.00;386179;;9578474
ACET_delisted;191612;2019-10-01;0.08;0.11;0.08;0.11;0.11;4909;;30839470
ACFN;14864218;2026-04-14;19.53;19.73;18.74;18.89;18.89;8972;;2506501
ACGL;445596;2026-04-14;96.12;96.79;95.56;96.20;96.20;1838459;;355803320
ACHC;445598;2026-04-14;26.58;27.02;26.19;26.56;26.56;2410700;;92211777
ACHR;11795330;2026-04-14;5.66;5.75;5.56;5.67;5.67;22225834;;744538832
ACHV;12444293;2026-04-14;3.63;3.73;3.59;3.61;3.61;514396;;53239988
ACI;1077533;2026-04-14;16.70;16.92;15.94;16.34;16.34;13731000;;513913121
ACIA;353923;2021-03-01;114.99;114.99;114.99;114.99;114.99;0;;42631607
ACIC;774910;2026-04-14;11.47;11.65;11.47;11.62;11.62;132033;;48656205
ACIU;18526119;2026-04-14;3.31;3.33;3.19;3.19;3.19;176836;;101742231
ACIW;1057787;2026-04-14;41.33;42.08;41.09;41.45;41.45;548341;;101719981
ACLS;670942;2026-04-14;113.00;114.84;111.83;113.06;113.06;457434;;30718815
ACLX;1342109;2026-04-14;114.86;114.91;114.86;114.89;114.89;543079;;58479812
ACM;445606;2026-04-14;85.78;86.28;84.93;85.14;85.14;736746;;129288624
ACMR;7962770;2026-04-14;50.46;51.44;49.60;50.75;50.75;701202;;65727594
ACN;61372;2026-04-14;192.72;194.30;189.51;190.37;190.37;4479445;;665442713
ACNB;9075814;2026-04-14;51.25;51.50;50.70;51.15;51.15;85794;;10384812
ACOR;9076152;2024-04-11;0.78;0.85;0.61;0.66;0.66;416928;;1242098
ACR;9076068;2026-04-14;19.53;19.78;19.40;19.78;19.78;13326;;7285680
ACRE;3241276;2026-04-14;5.10;5.19;5.09;5.17;5.17;339332;;55367672
ACRHF;16787003;2026-04-14;0.00;0.00;0.00;0.00;0.00;0;;99860761
ACRO;11817111;2023-12-18;10.45;10.46;10.45;10.45;10.45;2538;;43125000
ACRS;7962714;2026-04-14;3.91;4.02;3.85;3.92;3.92;2684263;;120595189
ACRV;16682740;2026-04-14;1.61;1.69;1.60;1.64;1.64;335935;;31555126
ACRX;113247;2024-01-09;0.78;0.88;0.78;0.86;0.86;241277;;368868
ACST;13774410;2024-10-07;3.11;3.14;3.03;3.11;3.11;12261;;10139861
ACT;353702;2026-04-14;41.99;42.24;41.89;42.00;42.00;182367;;133600000
ACTG;9075846;2026-04-14;5.00;5.08;4.92;4.95;4.95;183397;;96460378
ACTU;18526121;2026-04-14;1.86;2.33;1.65;2.08;2.08;613730;;23709943
ACU;998436;2026-04-14;46.12;46.25;44.90;45.22;45.22;12832;;3806724
ACVA;11795016;2026-04-14;4.54;4.73;4.47;4.66;4.66;2187710;;172171225
ACW;671043;2016-11-28;2.58;2.58;2.58;2.58;2.58;0;;48323007
ACXP;11035138;2026-04-14;2.95;3.08;2.78;2.78;2.78;102080;;2085363
ADAG;18602763;2026-04-14;3.83;4.00;3.80;3.81;3.81;251714;;59231993
ADAP;10656590;2025-10-27;0.07;0.07;0.05;0.05;0.05;48036475;;1590309546
ADBE;14099;2026-04-13;227.14;240.19;226.50;240.11;240.11;6083938;;404200000
ADC;6480964;2026-04-14;77.41;78.18;77.04;77.80;77.80;737240;;120028299
ADCT;15112455;2026-04-14;3.85;3.99;3.83;3.86;3.86;542053;;127044356
